With changing CO2e values per passenger kilometre,,,,,,,,,,,,
group,cps,travel_time,routed_distance,CO2e,CO2e per scen,megaton,difference*100 (1 to 100%) in megatonnes,Percentage,Perc change,,,
0,FALSE," 637,250,810 "," 2,504,785,848 "," 191,589,208 "," 191,589,208 ", 19.159 ,0,96.5%,,,,
0,TRUE," 17,113,212 "," 80,673,324 "," 6,966,633 "," 6,966,633 ", 0.697 ,0,3.5%,,,,
0,TOTAL," 654,364,022 "," 2,585,459,172 ",," 198,555,841 ", 19.856 ,0,,,,,
1,FALSE," 701,479,043 "," 2,741,510,114 "," 619,062,741 "," 154,765,685 ", 15.477 ,-3.68,96.4%,,2030 without MOD,,
1,TRUE," 19,907,316 "," 90,743,306 "," 23,443,723 "," 5,860,931 ", 0.586 ,-0.11,3.6%,,,,
1,TOTAL," 721,386,359 "," 2,832,253,420 ",," 160,626,616 ", 16.063 ,-3.79,,,,,
2,FALSE," 698,423,198 "," 2,726,907,776 "," 617,283,137 "," 154,320,784 ", 15.432 ,-3.73,96.5%,,2030 with MOD,,
2,TRUE," 18,768,912 "," 84,598,808 "," 22,120,330 "," 5,530,082 ", 0.553 ,-0.14,3.5%,,,,
2,TOTAL," 717,192,110 "," 2,811,506,585 ",," 159,850,867 ", 15.985 ,-3.87,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Without changing CO2e values per passenger kilometre,,,,,,,,,,,,
group,cps,travel_time,routed_distance,CO2e,CO2e per scen,megaton,difference*100 (1 to 100%) in megatonnes,Percentage,Perc change,,,
0,FALSE," 637,250,810 "," 2,504,785,848 ",191589207.9," 191,589,208 ", 19.159 ,0,96.5%,,,,
0,TRUE," 17,113,212 "," 80,673,324 ",6966633.079," 6,966,633 ", 0.697 ,0,3.5%,,,,
0,TOTAL," 654,364,022 "," 2,585,459,172 ",," 198,555,841 ", 19.856 ,0,,,,,
1,FALSE," 701,479,043 "," 2,741,510,114 ",826432288," 206,608,072 ", 20.661 ,1.50,96.4%,,2030 without MOD,,
1,TRUE," 19,907,316 "," 90,743,306 ",31055396.21," 7,763,849 ", 0.776 ,0.08,3.6%,,,,
1,TOTAL," 721,386,359 "," 2,832,253,420 ",," 214,371,921 ", 21.437 ,1.58,,,,,
2,FALSE," 698,423,198 "," 2,726,907,776 ",823883739.5," 205,970,935 ", 20.597 ,1.44,96.6%,,2030 with MOD,,
2,TRUE," 18,768,912 "," 84,598,808 ",29230376.31," 7,307,594 ", 0.731 ,0.03,3.4%,,,,
2,TOTAL," 717,192,110 "," 2,811,506,585 ",," 213,278,529 ", 21.328 ,1.47,,,,,